Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C14, C15, C19, C26, C27, C28, C29, C33, C35, C40, C50, C51, C52, C56, C57, C58, C59, C61, C62, C66, C68, C7, C8, C83, C85, C9",0603,28,2.2u,
"C100, C101, C102, C103, C104, C105, C110, C111, C112, C113, C114, C115, C12, C120, C121, C2, C20, C21, C22, C30, C31, C32, C34, C38, C43, C44, C48, C49, C71, C73, C74, C76, C80, C81, C84, C86, C88, C89",0402,38,100n,
"C106, C107, C108, C109, C78, C87, C94, C95",0402,8,1u,
"C116, C117, C118, C119",0402,4,22n,
"C13, C69, C77, C96, C97, C98, C99",C_Elec_8x6.2,7,100u,
"C18, C23, C39, C47, C53, C6",0402,6,4.7n,
"C24, C25, C37, C41, C42, C45, C46",0805,7,22u,
"C90, C91",0402,2,15p,
"C92, C93",0402,2,10p,
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",0603,11,LED,
FB1,0805,1,FerriteBead,
J56,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q18, Q19, Q2, Q20, Q21, Q22, Q3, Q4, Q5, Q7, Q9",SOT-23,18,AO3400A,
"R1, R10, R11, R12, R23, R24, R27, R28, R30, R31, R32, R35, R37, R39, R43, R45, R5, R51, R52, R53, R54, R55, R62, R63, R64, R65, R66, R67, R7, R74, R75, R82, R83, R9, R97",0402,35,10k,
"R100, R101, R102, R103, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R38, R4, R50, R60, R61, R72, R73, R76, R77, R78, R79, R80, R81, R84, R85, R86, R87, R88, R89, R90, R91, R93, R94, R95, R96, R98, R99",0402,41,510,
"R29, R36, R42, R44, R46, R47, R6, R8, R92",0402,9,5.1k,
"U1, U10",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,
"U11, U12, U13, U14",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,4,DRV8874PWPR,
U15,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42670-P,
"U3, U4, U6, U7",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,4,DRV8837,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,
U8,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,
U9,SOT-23-6,1,SRV05-4,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
